[2024-01-31 16:41:48,004][root][INFO] - using 1 gpus
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
--------PU Dataset:(0, 1) TL Task---------
the input kind is fft,the model kind is ResNet18
the opt infor is {'name': 'adamw', 'lr_src': 0.001, 'lr_tar': 0.001, 'lr_scheduler': 'designed', 'weight_decay_src': 0.0001, 'weight_decay_tar': 0.0001}
the data infor is {'data_name': 'PU', 'data_path': 'D:/P_new/PU_dataset', 'TL_list': [0, 1, 2], 'input_kind': 'fft', 'norm_kind': 'mean-std', 'TL_Task': [0, 1]}
100%|██████████| 11/11 [00:00<00:00, 33.25it/s]
100%|██████████| 11/11 [00:00<00:00, 33.45it/s]
Task: [0, 1], Iter:1/50; Accuracy_S/T = 87.30%/ 76.07%; Loss= 1.08
Task: [0, 1], Iter:2/50; Accuracy_S/T = 99.71%/ 94.58%; Loss= 0.67
Task: [0, 1], Iter:3/50; Accuracy_S/T = 99.31%/ 89.38%; Loss= 0.62
Task: [0, 1], Iter:4/50; Accuracy_S/T = 99.85%/ 91.05%; Loss= 0.61
Task: [0, 1], Iter:5/50; Accuracy_S/T = 99.96%/ 92.33%; Loss= 0.61
Task: [0, 1], Iter:6/50; Accuracy_S/T = 99.75%/ 88.55%; Loss= 0.59
Task: [0, 1], Iter:7/50; Accuracy_S/T = 100.00%/ 88.73%; Loss= 0.59
Task: [0, 1], Iter:8/50; Accuracy_S/T = 100.00%/ 95.35%; Loss= 0.61
Task: [0, 1], Iter:9/50; Accuracy_S/T = 99.96%/ 92.11%; Loss= 0.59
Task: [0, 1], Iter:10/50; Accuracy_S/T = 99.89%/ 90.00%; Loss= 0.61
Task: [0, 1], Iter:11/50; Accuracy_S/T = 100.00%/ 91.82%; Loss= 0.59
Task: [0, 1], Iter:12/50; Accuracy_S/T = 99.53%/ 93.89%; Loss= 0.58
Task: [0, 1], Iter:13/50; Accuracy_S/T = 100.00%/ 93.82%; Loss= 0.61
Task: [0, 1], Iter:14/50; Accuracy_S/T = 100.00%/ 95.24%; Loss= 0.58
Task: [0, 1], Iter:15/50; Accuracy_S/T = 100.00%/ 92.51%; Loss= 0.59
Task: [0, 1], Iter:16/50; Accuracy_S/T = 100.00%/ 86.91%; Loss= 0.59
Task: [0, 1], Iter:17/50; Accuracy_S/T = 99.96%/ 91.67%; Loss= 0.63
Task: [0, 1], Iter:18/50; Accuracy_S/T = 100.00%/ 92.18%; Loss= 0.59
Task: [0, 1], Iter:19/50; Accuracy_S/T = 100.00%/ 92.33%; Loss= 0.58
Task: [0, 1], Iter:20/50; Accuracy_S/T = 100.00%/ 94.25%; Loss= 0.58
Task: [0, 1], Iter:21/50; Accuracy_S/T = 100.00%/ 92.25%; Loss= 0.58
Task: [0, 1], Iter:22/50; Accuracy_S/T = 100.00%/ 92.84%; Loss= 0.58
Task: [0, 1], Iter:23/50; Accuracy_S/T = 100.00%/ 94.84%; Loss= 0.58
Task: [0, 1], Iter:24/50; Accuracy_S/T = 100.00%/ 93.42%; Loss= 0.60
Task: [0, 1], Iter:25/50; Accuracy_S/T = 99.96%/ 94.04%; Loss= 0.58
Task: [0, 1], Iter:26/50; Accuracy_S/T = 100.00%/ 91.78%; Loss= 0.60
Task: [0, 1], Iter:27/50; Accuracy_S/T = 100.00%/ 96.58%; Loss= 0.58
Task: [0, 1], Iter:28/50; Accuracy_S/T = 100.00%/ 91.71%; Loss= 0.61
Task: [0, 1], Iter:29/50; Accuracy_S/T = 100.00%/ 93.49%; Loss= 0.58
Task: [0, 1], Iter:30/50; Accuracy_S/T = 99.93%/ 93.24%; Loss= 0.58
Task: [0, 1], Iter:31/50; Accuracy_S/T = 99.96%/ 94.40%; Loss= 0.58
Task: [0, 1], Iter:32/50; Accuracy_S/T = 99.96%/ 94.07%; Loss= 0.58
Task: [0, 1], Iter:33/50; Accuracy_S/T = 100.00%/ 92.84%; Loss= 0.58
Task: [0, 1], Iter:34/50; Accuracy_S/T = 100.00%/ 94.04%; Loss= 0.57
Task: [0, 1], Iter:35/50; Accuracy_S/T = 100.00%/ 93.85%; Loss= 0.57
Task: [0, 1], Iter:36/50; Accuracy_S/T = 100.00%/ 93.78%; Loss= 0.57
