100%|██████████| 11/11 [00:00<00:00, 38.97it/s]
100%|██████████| 11/11 [00:01<00:00,  9.98it/s]
[2024-01-31 16:53:49,317][root][INFO] - using 1 gpus
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
[2024-01-31 16:53:49,632][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
--------PU Dataset:(0, 2) TL Task---------
the input kind is fft,the model kind is ResNet18
the opt infor is {'name': 'adamw', 'lr_src': 0.001, 'lr_tar': 0.001, 'lr_scheduler': 'designed', 'weight_decay_src': 0.0001, 'weight_decay_tar': 0.0001}
the data infor is {'data_name': 'PU', 'data_path': 'D:/P_new/PU_dataset', 'TL_list': [0, 1, 2], 'input_kind': 'fft', 'norm_kind': 'mean-std', 'TL_Task': [0, 2]}
Task: [0, 2], Iter:1/50; Accuracy_S/T = 87.30%/ 63.47%; Loss= 1.08
[2024-01-31 16:54:00,019][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [0, 2], Iter:2/50; Accuracy_S/T = 99.71%/ 71.76%; Loss= 0.67
[2024-01-31 16:54:10,450][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [0, 2], Iter:3/50; Accuracy_S/T = 99.31%/ 71.39%; Loss= 0.62
Task: [0, 2], Iter:4/50; Accuracy_S/T = 99.85%/ 68.19%; Loss= 0.61
[2024-01-31 16:54:31,219][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [0, 2], Iter:5/50; Accuracy_S/T = 99.96%/ 75.57%; Loss= 0.61
[2024-01-31 16:54:41,623][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [0, 2], Iter:6/50; Accuracy_S/T = 99.75%/ 58.02%; Loss= 0.59
[2024-01-31 16:54:52,014][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [0, 2], Iter:7/50; Accuracy_S/T = 100.00%/ 71.86%; Loss= 0.59
Task: [0, 2], Iter:8/50; Accuracy_S/T = 100.00%/ 73.54%; Loss= 0.61
Task: [0, 2], Iter:9/50; Accuracy_S/T = 99.96%/ 74.70%; Loss= 0.59
Task: [0, 2], Iter:10/50; Accuracy_S/T = 99.89%/ 73.14%; Loss= 0.61
Task: [0, 2], Iter:11/50; Accuracy_S/T = 100.00%/ 75.28%; Loss= 0.59
Task: [0, 2], Iter:12/50; Accuracy_S/T = 99.53%/ 80.01%; Loss= 0.58
Task: [0, 2], Iter:13/50; Accuracy_S/T = 100.00%/ 72.01%; Loss= 0.61
Task: [0, 2], Iter:14/50; Accuracy_S/T = 100.00%/ 76.63%; Loss= 0.58
Task: [0, 2], Iter:15/50; Accuracy_S/T = 100.00%/ 70.96%; Loss= 0.59
Task: [0, 2], Iter:16/50; Accuracy_S/T = 100.00%/ 69.28%; Loss= 0.59
Task: [0, 2], Iter:17/50; Accuracy_S/T = 99.96%/ 72.88%; Loss= 0.63
Task: [0, 2], Iter:18/50; Accuracy_S/T = 100.00%/ 78.99%; Loss= 0.59
Task: [0, 2], Iter:19/50; Accuracy_S/T = 100.00%/ 78.95%; Loss= 0.58
Task: [0, 2], Iter:20/50; Accuracy_S/T = 100.00%/ 77.54%; Loss= 0.58
Task: [0, 2], Iter:21/50; Accuracy_S/T = 100.00%/ 75.90%; Loss= 0.58
Task: [0, 2], Iter:22/50; Accuracy_S/T = 100.00%/ 76.55%; Loss= 0.58
Task: [0, 2], Iter:23/50; Accuracy_S/T = 100.00%/ 78.59%; Loss= 0.58
Task: [0, 2], Iter:24/50; Accuracy_S/T = 100.00%/ 75.32%; Loss= 0.60
Task: [0, 2], Iter:25/50; Accuracy_S/T = 99.96%/ 72.37%; Loss= 0.58
Task: [0, 2], Iter:26/50; Accuracy_S/T = 100.00%/ 70.81%; Loss= 0.60
Task: [0, 2], Iter:27/50; Accuracy_S/T = 100.00%/ 75.65%; Loss= 0.58
Task: [0, 2], Iter:28/50; Accuracy_S/T = 100.00%/ 74.85%; Loss= 0.61
Task: [0, 2], Iter:29/50; Accuracy_S/T = 100.00%/ 74.34%; Loss= 0.58
Task: [0, 2], Iter:30/50; Accuracy_S/T = 99.93%/ 70.59%; Loss= 0.58
Task: [0, 2], Iter:31/50; Accuracy_S/T = 99.96%/ 72.45%; Loss= 0.58
Task: [0, 2], Iter:32/50; Accuracy_S/T = 99.96%/ 74.77%; Loss= 0.58
Task: [0, 2], Iter:33/50; Accuracy_S/T = 100.00%/ 78.81%; Loss= 0.58
Task: [0, 2], Iter:34/50; Accuracy_S/T = 100.00%/ 77.06%; Loss= 0.57
Task: [0, 2], Iter:35/50; Accuracy_S/T = 100.00%/ 75.97%; Loss= 0.57
Task: [0, 2], Iter:36/50; Accuracy_S/T = 100.00%/ 75.79%; Loss= 0.57
Task: [0, 2], Iter:37/50; Accuracy_S/T = 100.00%/ 78.01%; Loss= 0.57
Task: [0, 2], Iter:38/50; Accuracy_S/T = 100.00%/ 77.43%; Loss= 0.57
Task: [0, 2], Iter:39/50; Accuracy_S/T = 100.00%/ 75.75%; Loss= 0.57
Task: [0, 2], Iter:40/50; Accuracy_S/T = 100.00%/ 80.12%; Loss= 0.58
Task: [0, 2], Iter:41/50; Accuracy_S/T = 100.00%/ 77.39%; Loss= 0.57
Task: [0, 2], Iter:42/50; Accuracy_S/T = 100.00%/ 76.12%; Loss= 0.57
Task: [0, 2], Iter:43/50; Accuracy_S/T = 100.00%/ 79.64%; Loss= 0.57
Task: [0, 2], Iter:44/50; Accuracy_S/T = 100.00%/ 79.13%; Loss= 0.57
Task: [0, 2], Iter:45/50; Accuracy_S/T = 100.00%/ 80.63%; Loss= 0.57
Task: [0, 2], Iter:46/50; Accuracy_S/T = 100.00%/ 78.99%; Loss= 0.57
Task: [0, 2], Iter:47/50; Accuracy_S/T = 100.00%/ 79.10%; Loss= 0.56
Task: [0, 2], Iter:48/50; Accuracy_S/T = 100.00%/ 79.53%; Loss= 0.56
Task: [0, 2], Iter:49/50; Accuracy_S/T = 100.00%/ 80.55%; Loss= 0.56
Task: [0, 2], Iter:50/50; Accuracy_S/T = 100.00%/ 79.24%; Loss= 0.57
