100%|██████████| 11/11 [00:00<00:00, 41.32it/s]
100%|██████████| 11/11 [00:00<00:00, 41.70it/s]
[2024-01-31 17:01:31,667][root][INFO] - using 1 gpus
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
the PU data is ['KA04', 'KA15', 'KA16', 'KA22', 'KA30', 'KB23', 'KB24', 'KB27', 'KI14', 'KI17', 'KI21']
--------PU Dataset:(1, 0) TL Task---------
the input kind is fft,the model kind is ResNet18
the opt infor is {'name': 'adamw', 'lr_src': 0.001, 'lr_tar': 0.001, 'lr_scheduler': 'designed', 'weight_decay_src': 0.0001, 'weight_decay_tar': 0.0001}
the data infor is {'data_name': 'PU', 'data_path': 'D:/P_new/PU_dataset', 'TL_list': [0, 1, 2], 'input_kind': 'fft', 'norm_kind': 'mean-std', 'TL_Task': [1, 0]}
[2024-01-31 17:01:35,024][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [1, 0], Iter:1/50; Accuracy_S/T = 89.31%/ 80.40%; Loss= 1.12
Task: [1, 0], Iter:2/50; Accuracy_S/T = 99.93%/ 92.20%; Loss= 0.63
[2024-01-31 17:01:45,408][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [1, 0], Iter:3/50; Accuracy_S/T = 96.15%/ 91.87%; Loss= 0.61
[2024-01-31 17:01:55,790][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [1, 0], Iter:4/50; Accuracy_S/T = 99.96%/ 94.74%; Loss= 0.59
Task: [1, 0], Iter:5/50; Accuracy_S/T = 99.93%/ 95.10%; Loss= 0.58
Task: [1, 0], Iter:6/50; Accuracy_S/T = 100.00%/ 93.28%; Loss= 0.57
Task: [1, 0], Iter:7/50; Accuracy_S/T = 100.00%/ 95.21%; Loss= 0.57
[2024-01-31 17:02:16,631][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1131)'))': /api/4504800232407040/envelope/
Task: [1, 0], Iter:8/50; Accuracy_S/T = 99.67%/ 89.66%; Loss= 0.57
