2024-01-31 19:10:23,960 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Configure stats pid to 20208
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Loading settings from C:\Users\×£ÃÏÝ¹\.config\wandb\settings
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Loading settings from D:\Source_Code_Work\TTA_MFD\wandb\settings
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_Tar.py', 'program_abspath': 'D:\\Source_Code_Work\\TTA_MFD\\main_Tar.py', 'program': 'D:\\Source_Code_Work\\TTA_MFD\\main_Tar.py'}
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_init.py:_log_setup():524] Logging user logs to D:\Source_Code_Work\TTA_MFD\wandb\run-20240131_191023-x1p4wn5q\logs\debug.log
2024-01-31 19:10:23,961 INFO    MainThread:20208 [wandb_init.py:_log_setup():525] Logging internal logs to D:\Source_Code_Work\TTA_MFD\wandb\run-20240131_191023-x1p4wn5q\logs\debug-internal.log
2024-01-31 19:10:23,962 INFO    MainThread:20208 [wandb_init.py:init():564] calling init triggers
2024-01-31 19:10:23,962 INFO    MainThread:20208 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'batch_size': 128, 'num_workers': 0, 'norm_kind': 'mean-std', 'train_epoch': 1, 'tar_epoch': 1, 'src_epoch': 50, 'seed': 2020, 'gpu_id': '0', 'process_wandb': True, 'verbose': True, 'PR': 0.2, 'wandb': {'setup': {'project': 'TTA_tar_PU', 'entity': 'bubble_', 'mode': 'online', 'group': '01-31 19:07fft_ResNet18_0.2adamw_lr_0.01_BS_128_v2filter_K50_alpha_2_NK_5', 'reinit': True, 'save_code': True, 'name': '(2, 0)Task_2025'}, 'watch': {'log': 'all', 'log_freq': 50}}, 'Model': {'model_name': 'ResNet18', 'bottleneck': True, 'bottleneck_num': 128, 'temp': 1, 'model_type': 'linear', 'Dropout': True}, 'Opt': {'name': 'adamw', 'lr_src': 0.001, 'lr_tar': 0.01, 'lr_scheduler': 'fix', 'weight_decay_src': 0.0001, 'weight_decay_tar': 0.001}, 'Dataset': {'data_name': 'PU', 'data_path': 'D:/P_new/PU_dataset', 'TL_list': [0, 1, 2], 'input_kind': 'fft', 'norm_kind': 'mean-std', 'TL_Task': [2, 0]}, 'TTA': {'optim_steps': 2, 'model_episodic': False, 'filter_K': 50, 'temp': 1, 'alpha': 2, 'contrastive_': 1, 'neighbor_K': 5, 'NA_': 1, 'NA_kind': 4, 'version': 'v2', 'B_kind': 1}, 'TTA_Baseline': {'steps': 2, 'filter_K': 50, 'd_margin': 0.05, 'beta': 0.9, 'reset_constant_em': 0.2, 'nu': 0.001, 'alpha': 0.05, 'memory_size': 128, 'lambda_t': 1.0, 'lambda_u': 1.0, 'update_frequency': 128, 'e': 0.5}, 'train_time': '01-31 19:07', 'seed_run': 2025, 'model_episodic': False, 'model_name': '0.2_ResNet182025fft_Linear.pt', 'save_model_path': '.\\TTA_Model', 'model_path': WindowsPath('TTA_Model/PU0.001/[1, 2]_Task'), 'model_txt': WindowsPath('TTA_Model/PU0.001/[1, 2]_Task/0.2_ResNet182025fft_Linear.txt'), 'cfg_model': [51, 56, 51, 55, 48, 105, 117, 109, 111, 218, 216, 211, 205, 430, 403, 394, 344]}
2024-01-31 19:10:23,962 INFO    MainThread:20208 [wandb_init.py:init():614] starting backend
2024-01-31 19:10:23,962 INFO    MainThread:20208 [wandb_init.py:init():618] setting up manager
2024-01-31 19:10:23,972 INFO    MainThread:20208 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-31 19:10:23,973 INFO    MainThread:20208 [wandb_init.py:init():624] backend started and connected
2024-01-31 19:10:23,986 INFO    MainThread:20208 [wandb_init.py:init():716] updated telemetry
2024-01-31 19:10:23,988 INFO    MainThread:20208 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-31 19:10:24,678 INFO    MainThread:20208 [wandb_run.py:_on_init():2254] communicating current version
2024-01-31 19:10:25,895 INFO    MainThread:20208 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-31 19:10:25,895 INFO    MainThread:20208 [wandb_init.py:init():800] starting run threads in backend
2024-01-31 19:10:30,082 INFO    MainThread:20208 [wandb_run.py:_console_start():2233] atexit reg
2024-01-31 19:10:30,082 INFO    MainThread:20208 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-31 19:10:30,082 INFO    MainThread:20208 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-31 19:10:30,082 INFO    MainThread:20208 [wandb_run.py:_redirect():2178] Redirects installed.
